"","word","freq"
"here:","here:",1
"➡️://t.co/69y5t5…","➡️://t.co/69y5t5…",1
"://t.co/86guful2qc","://t.co/86guful2qc",1
"@danno_gsd:","@danno_gsd:",1
"impatient","impatient",1
"posting","posting",1
"://t.co/lpdhipo66r","://t.co/lpdhipo66r",1
"@hotepjesus","@hotepjesus",1
"churches...","churches...",1
"covid","covid",1
"economy,","economy,",1
"emergency","emergency",1
"health","health",1
"public","public",1
"schools,","schools,",1
"shutting","shutting",1
"th…","th…",1
"worthy","worthy",1
"able","able",1
"hatsune","hatsune",1
"longer","longer",1
"miku","miku",1
"rewatching","rewatching",1
"than","than",1
"#226","#226",1
"#thewelcomeshow","#thewelcomeshow",1
"2021","2021",1
"://t.co/5gmacvqacn","://t.co/5gmacvqacn",1
"@badllamaband","@badllamaband",1
"@radiokc:","@radiokc:",1
"nov","nov",1
"premiere","premiere",1
"viper","viper",1
"▂▂▂▂▂▂▂▂▂▂▂▂▂▂","▂▂▂▂▂▂▂▂▂▂▂▂▂▂",1
"📸","📸",1
"🔊","🔊",1
"://t.co/4aw9dqzgg2","://t.co/4aw9dqzgg2",1
"etc....…","etc....…",1
"gmail,","gmail,",1
"pinterest,","pinterest,",1
"snapchat","snapchat",1
"://t.co/gm2meesa3r","://t.co/gm2meesa3r",1
"#socialmedia…","#socialmedia…",1
"://t.co/ecmgdaw7bj","://t.co/ecmgdaw7bj",1
"://t.co/bkkivimjp1","://t.co/bkkivimjp1",1
"@binance","@binance",1
"affiliate","affiliate",1
"all…","all…",1
"binance","binance",1
"follow:","follow:",1
"why:","why:",1
"🤗","🤗",1
"annoying","annoying",1
"comment:","comment:",1
"omg!!!!","omg!!!!",1
"purge","purge",1
"showing","showing",1
"siren","siren",1
"siren!!!!!😵‍💫😭","siren!!!!!😵‍💫😭",1
"testing","testing",1
"thought","thought",1
"tok:","tok:",1
"y’all","y’all",1
"@itsr_a_e:","@itsr_a_e:",1
"cannot","cannot",1
"change","change",1
"idea","idea",1
"section????","section????",1
"stand","stand",1
"tok’s","tok’s",1
"whose","whose",1
"doing","doing",1
"face","face",1
"fraternity.","fraternity.",1
"she's","she's",1
"stepping","stepping",1
"stink","stink",1
"story.","story.",1
"twerks","twerks",1
"@buczek_lech:","@buczek_lech:",1
"@serjtankian","@serjtankian",1
"ht…","ht…",1
"telegram,","telegram,",1
"vibe!","vibe!",1
"whatsapp,","whatsapp,",1
"://t.co/qjfvpvbjcz","://t.co/qjfvpvbjcz",1
"acc…","acc…",1
"label","label",1
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂","😂😂😂😂😂😂😂😂😂😂😂😂😂😂",1
"(tik","(tik",1
"2022)","2022)",1
"://t.co/dhv4yq319n","://t.co/dhv4yq319n",1
"@youtube","@youtube",1
"deh","deh",1
"fur...","fur...",1
"paul,","paul,",1
"remix","remix",1
"sean","sean",1
"shaggy","shaggy",1
"spice,","spice,",1
"://t.co/uyngff7huy","://t.co/uyngff7huy",1
"@anagarc12600762","@anagarc12600762",1
"@anesterova2","@anesterova2",1
"@freemindgo","@freemindgo",1
"@freespe83912197…","@freespe83912197…",1
"@ganguskhan777","@ganguskhan777",1
"@giobegood","@giobegood",1
"@tibimagyari","@tibimagyari",1
"@valere_ia","@valere_ia",1
"deleted","deleted",1
"gotta","gotta",1
"insta..","insta..",1
"snap","snap",1
"stick","stick",1
